Accountable Organization,Accountable Sub Organization,Installation Code,Installation Name,Site UID,Legacy Site Code,Site Name,RPA UID,Facility Number,Operational Status Code,Operational Status Name,RPA Type Code,RPA Type Desc,RPA Interest Type Code,RPA Interest Type Desc,RPA Predominant Design Use Catcode,RPA Predominant Design Use Catcode Desc,Design Use Catcode,Design Use Catcode Desc,Design Use Fac Code,Design Use Fac Code Name,Asset Configuration Primary UM Qty,Asset Configuration Primary UM Code,Asset Configuration Secondary UM Qty,,Category
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966885,307,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89131,SEWAGE /WASTE TREATMENT BUILDING,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966886,611,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",21872,"QUALITY ASSURANCE/CALIBRATION FACILITY, GENERAL PURPOSE, INSTALLATION",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966888,220,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",14180,SCALE HOUSE,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966889,89,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",83150,SEWAGE LIFT STATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966890,215,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89131,SEWAGE /WASTE TREATMENT BUILDING,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966891,413,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",83150,SEWAGE LIFT STATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966898,627,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",84110,WATER TREATMENT PLANT,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966901,327,ACT,Active,LS,Linear Structure,FEE,"U.S. Government owned property, DoD Accountability",87110,STORM SEWER,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966902,601,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",81320,SUBSTATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966916,669,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",14955,"WASH PLATFORM, ORGANIZATIONAL",,,,,,,,,
